,θ,marks
1,28,flutes
2,354,flutes
3,332,flutes
4,9,flutes
5,25,flutes
6,43,flutes
7,51,flutes
8,50,flutes
9,48,flutes
10,330,flutes
11,23,flutes
12,32,flutes
13,325,flutes
14,198,grooves and tools
15,196,grooves and tools
16,96,grooves and tools
17,170,grooves and tools
18,162,grooves and tools
19,164,grooves and tools
20,166,grooves and tools
21,203,grooves and tools
22,147,grooves and tools
23,183,grooves and tools
24,180,grooves and tools
25,180,grooves and tools
26,221,grooves and tools
27,200,grooves and tools
28,218,grooves and tools
29,222,grooves and tools
30,161,grooves and tools
31,153,grooves and tools
32,170,grooves and tools
33,143,grooves and tools
34,212,grooves and tools
35,224,grooves and tools
