,θ
1,285
2,285
3,280
4,300
5,240
6,255
7,250
8,250
9,235
10,240
11,240
12,180
13,220
14,265
15,180
16,150
17,150
18,150
19,335
20,355
21,335
22,305
23,345
24,340
25,315
26,0
27,330
28,300
29,330
30,330
31,50
32,270
33,270
34,270
35,245
36,285
37,280
38,270
39,15
40,285
41,310
42,330
43,300
44,340
45,280
46,300
47,270
48,270
49,255
50,90
51,285
52,285
53,285
54,270
55,270
56,270
57,270
58,270
59,300
60,300
61,270
62,300
63,330
64,15
65,330
66,300
67,345
68,330
69,330
70,300
71,315
72,285
