,θ,set,latitude,longitude
1,161,1,-15.43,144.42
2,182,1,-15.43,144.42
3,179,1,-15.43,144.42
4,193,1,-15.43,144.42
5,164,1,-15.43,144.42
6,166,1,-15.43,144.42
7,144,1,-15.43,144.42
8,175,1,-15.43,144.42
9,163,1,-15.43,144.42
10,187,1,-15.43,144.42
11,177,1,-15.43,144.42
12,161,1,-15.43,144.42
13,170,1,-15.43,144.42
14,169,1,-15.43,144.42
15,144,1,-15.43,144.42
16,179,1,-15.43,144.42
17,175,1,-15.43,144.42
18,185,1,-15.43,144.42
19,211,1,-15.43,144.42
20,176,1,-15.43,144.42
21,184,1,-15.43,144.42
22,149,1,-15.43,144.42
23,166,1,-15.43,144.42
24,173,1,-15.43,144.42
25,144,1,-15.43,144.42
26,174,1,-15.43,144.42
27,202,1,-15.43,144.42
28,170,1,-15.43,144.42
29,164,1,-15.43,144.42
30,160,1,-15.43,144.42
31,163,1,-15.43,144.42
32,218,1,-15.43,144.42
33,181,1,-15.43,144.42
34,161,1,-15.43,144.42
35,180,1,-15.43,144.42
36,218,1,-15.43,144.42
37,18,1,-15.43,144.42
38,202,1,-15.43,144.42
39,152,1,-15.43,144.42
40,140,1,-15.43,144.42
41,244,1,-15.43,144.42
42,187,1,-15.43,144.42
43,203,1,-15.43,144.42
44,187,1,-15.43,144.42
45,180,1,-15.43,144.42
46,218,1,-15.43,144.42
47,18,1,-15.43,144.42
48,202,1,-15.43,144.42
49,152,1,-15.43,144.42
50,140,1,-15.43,144.42
51,192,1,-15.43,144.42
52,168,1,-15.43,144.42
53,164,1,-15.43,144.42
54,171,1,-15.43,144.42
55,179,1,-15.43,144.42
56,166,1,-15.43,144.42
57,174,1,-15.43,144.42
58,164,1,-15.43,144.42
59,166,1,-15.43,144.42
60,257,1,-15.43,144.42
61,215,1,-15.43,144.42
62,208,1,-15.43,144.42
63,187,1,-15.43,144.42
64,212,1,-15.43,144.42
65,177,1,-15.43,144.42
66,186,1,-15.43,144.42
67,171,1,-15.43,144.42
68,196,1,-15.43,144.42
69,188,1,-15.43,144.42
70,188,1,-15.43,144.42
71,163,1,-15.43,144.42
72,201,1,-15.43,144.42
73,204,1,-15.43,144.42
74,184,1,-15.43,144.42
75,218,1,-15.43,144.42
76,220,1,-15.43,144.42
77,178,1,-15.43,144.42
78,316,1,-15.43,144.42
79,161,1,-15.43,144.42
80,182,1,-15.43,144.42
81,180,1,-15.43,144.42
82,200,1,-15.43,144.42
83,211,1,-15.43,144.42
84,228,1,-15.43,144.42
85,168,1,-15.43,144.42
86,197,1,-15.43,144.42
87,202,1,-15.43,144.42
88,273,1,-15.43,144.42
89,158,1,-15.43,144.42
90,150,1,-15.43,144.42
91,157,1,-15.43,144.42
92,182,1,-15.43,144.42
93,189,1,-15.43,144.42
94,174,1,-15.43,144.42
95,136,1,-15.43,144.42
96,202,1,-15.43,144.42
97,202,1,-15.43,144.42
98,167,1,-15.43,144.42
99,181,1,-15.43,144.42
100,193,1,-15.43,144.42
101,121,2,-15.32,144.17
102,138,2,-15.32,144.17
103,183,2,-15.32,144.17
104,193,2,-15.32,144.17
105,180,2,-15.32,144.17
106,151,2,-15.32,144.17
107,179,2,-15.32,144.17
108,170,2,-15.32,144.17
109,178,2,-15.32,144.17
110,144,2,-15.32,144.17
111,186,2,-15.32,144.17
112,164,2,-15.32,144.17
113,181,2,-15.32,144.17
114,202,2,-15.32,144.17
115,182,2,-15.32,144.17
116,162,2,-15.32,144.17
117,190,2,-15.32,144.17
118,178,2,-15.32,144.17
119,168,2,-15.32,144.17
120,164,2,-15.32,144.17
121,160,2,-15.32,144.17
122,166,2,-15.32,144.17
123,166,2,-15.32,144.17
124,192,2,-15.32,144.17
125,150,2,-15.32,144.17
126,173,2,-15.32,144.17
127,156,2,-15.32,144.17
128,173,2,-15.32,144.17
129,184,2,-15.32,144.17
130,159,2,-15.32,144.17
131,165,2,-15.32,144.17
132,147,2,-15.32,144.17
133,189,2,-15.32,144.17
134,200,2,-15.32,144.17
135,143,2,-15.32,144.17
136,156,2,-15.32,144.17
137,185,2,-15.32,144.17
138,188,2,-15.32,144.17
139,173,2,-15.32,144.17
140,165,2,-15.32,144.17
141,189,2,-15.32,144.17
142,165,2,-15.32,144.17
143,179,2,-15.32,144.17
144,176,2,-15.32,144.17
145,172,2,-15.32,144.17
146,182,2,-15.32,144.17
147,178,2,-15.32,144.17
148,162,2,-15.32,144.17
149,186,2,-15.32,144.17
150,161,2,-15.32,144.17
151,194,3,-14.59,143.35
152,188,3,-14.59,143.35
153,166,3,-14.59,143.35
154,185,3,-14.59,143.35
155,191,3,-14.59,143.35
156,184,3,-14.59,143.35
157,175,3,-14.59,143.35
158,176,3,-14.59,143.35
159,173,3,-14.59,143.35
160,164,3,-14.59,143.35
161,204,3,-14.59,143.35
162,185,3,-14.59,143.35
163,191,3,-14.59,143.35
164,171,3,-14.59,143.35
165,170,3,-14.59,143.35
166,168,3,-14.59,143.35
167,195,3,-14.59,143.35
168,157,3,-14.59,143.35
169,156,3,-14.59,143.35
170,174,3,-14.59,143.35
171,170,3,-14.59,143.35
172,159,3,-14.59,143.35
173,169,3,-14.59,143.35
174,173,3,-14.59,143.35
175,147,3,-14.59,143.35
176,157,3,-14.59,143.35
177,182,3,-14.59,143.35
178,178,3,-14.59,143.35
179,165,3,-14.59,143.35
180,170,3,-14.59,143.35
181,180,3,-14.59,143.35
182,170,3,-14.59,143.35
183,164,3,-14.59,143.35
184,195,3,-14.59,143.35
185,185,3,-14.59,143.35
186,166,3,-14.59,143.35
187,177,3,-14.59,143.35
188,179,3,-14.59,143.35
189,169,3,-14.59,143.35
190,184,3,-14.59,143.35
191,187,3,-14.59,143.35
192,149,3,-14.59,143.35
193,193,3,-14.59,143.35
194,162,3,-14.59,143.35
195,160,3,-14.59,143.35
196,183,3,-14.59,143.35
197,139,3,-14.59,143.35
198,170,3,-14.59,143.35
199,202,3,-14.59,143.35
200,181,3,-14.59,143.35
201,178,4,-14.19,143.19
202,154,4,-14.19,143.19
203,179,4,-14.19,143.19
204,181,4,-14.19,143.19
205,208,4,-14.19,143.19
206,163,4,-14.19,143.19
207,177,4,-14.19,143.19
208,167,4,-14.19,143.19
209,158,4,-14.19,143.19
210,184,4,-14.19,143.19
211,158,4,-14.19,143.19
212,152,4,-14.19,143.19
213,202,4,-14.19,143.19
214,166,4,-14.19,143.19
215,154,4,-14.19,143.19
216,160,4,-14.19,143.19
217,161,4,-14.19,143.19
218,179,4,-14.19,143.19
219,149,4,-14.19,143.19
220,187,4,-14.19,143.19
221,200,4,-14.19,143.19
222,157,4,-14.19,143.19
223,177,4,-14.19,143.19
224,158,4,-14.19,143.19
225,166,4,-14.19,143.19
226,171,4,-14.19,143.19
227,164,4,-14.19,143.19
228,159,4,-14.19,143.19
229,150,4,-14.19,143.19
230,155,4,-14.19,143.19
231,184,4,-14.19,143.19
232,163,4,-14.19,143.19
233,152,4,-14.19,143.19
234,196,4,-14.19,143.19
235,186,4,-14.19,143.19
236,194,4,-14.19,143.19
237,168,4,-14.19,143.19
238,183,4,-14.19,143.19
239,171,4,-14.19,143.19
240,165,4,-14.19,143.19
241,178,4,-14.19,143.19
242,175,4,-14.19,143.19
243,172,4,-14.19,143.19
244,166,4,-14.19,143.19
245,173,4,-14.19,143.19
246,179,4,-14.19,143.19
247,171,4,-14.19,143.19
248,176,4,-14.19,143.19
249,186,4,-14.19,143.19
250,167,4,-14.19,143.19
251,172,5,-13.21,142.53
252,186,5,-13.21,142.53
253,162,5,-13.21,142.53
254,189,5,-13.21,142.53
255,168,5,-13.21,142.53
256,166,5,-13.21,142.53
257,184,5,-13.21,142.53
258,154,5,-13.21,142.53
259,131,5,-13.21,142.53
260,176,5,-13.21,142.53
261,186,5,-13.21,142.53
262,174,5,-13.21,142.53
263,136,5,-13.21,142.53
264,172,5,-13.21,142.53
265,195,5,-13.21,142.53
266,182,5,-13.21,142.53
267,165,5,-13.21,142.53
268,177,5,-13.21,142.53
269,176,5,-13.21,142.53
270,186,5,-13.21,142.53
271,174,5,-13.21,142.53
272,174,5,-13.21,142.53
273,164,5,-13.21,142.53
274,156,5,-13.21,142.53
275,171,5,-13.21,142.53
276,147,5,-13.21,142.53
277,169,5,-13.21,142.53
278,165,5,-13.21,142.53
279,166,5,-13.21,142.53
280,181,5,-13.21,142.53
281,161,5,-13.21,142.53
282,190,5,-13.21,142.53
283,188,5,-13.21,142.53
284,168,5,-13.21,142.53
285,154,5,-13.21,142.53
286,213,5,-13.21,142.53
287,203,5,-13.21,142.53
288,167,5,-13.21,142.53
289,172,5,-13.21,142.53
290,189,5,-13.21,142.53
291,183,5,-13.21,142.53
292,162,5,-13.21,142.53
293,174,5,-13.21,142.53
294,171,5,-13.21,142.53
295,174,5,-13.21,142.53
296,189,5,-13.21,142.53
297,186,5,-13.21,142.53
298,148,5,-13.21,142.53
299,169,5,-13.21,142.53
300,176,5,-13.21,142.53
301,183,6,-12.50,142.44
302,171,6,-12.50,142.44
303,167,6,-12.50,142.44
304,178,6,-12.50,142.44
305,172,6,-12.50,142.44
306,191,6,-12.50,142.44
307,173,6,-12.50,142.44
308,160,6,-12.50,142.44
309,165,6,-12.50,142.44
310,155,6,-12.50,142.44
311,194,6,-12.50,142.44
312,179,6,-12.50,142.44
313,194,6,-12.50,142.44
314,181,6,-12.50,142.44
315,166,6,-12.50,142.44
316,180,6,-12.50,142.44
317,209,6,-12.50,142.44
318,181,6,-12.50,142.44
319,181,6,-12.50,142.44
320,175,6,-12.50,142.44
321,170,6,-12.50,142.44
322,191,6,-12.50,142.44
323,194,6,-12.50,142.44
324,184,6,-12.50,142.44
325,164,6,-12.50,142.44
326,174,6,-12.50,142.44
327,170,6,-12.50,142.44
328,177,6,-12.50,142.44
329,186,6,-12.50,142.44
330,197,6,-12.50,142.44
331,177,6,-12.50,142.44
332,179,6,-12.50,142.44
333,168,6,-12.50,142.44
