,θ,season
1,0,Spring
2,20,Spring
3,40,Spring
4,60,Spring
5,160,Spring
6,170,Spring
7,200,Spring
8,220,Spring
9,270,Spring
10,290,Spring
11,340,Spring
12,350,Spring
13,10,Summer
14,10,Summer
15,20,Summer
16,20,Summer
17,30,Summer
18,30,Summer
19,40,Summer
20,150,Summer
21,150,Summer
22,150,Summer
23,170,Summer
24,190,Summer
25,290,Summer
26,30,Autumn
27,70,Autumn
28,110,Autumn
29,170,Autumn
30,180,Autumn
31,190,Autumn
32,240,Autumn
33,250,Autumn
34,260,Autumn
35,260,Autumn
36,290,Autumn
37,350,Autumn
38,50,Winter
39,120,Winter
40,190,Winter
41,210,Winter
42,220,Winter
43,250,Winter
44,260,Winter
45,290,Winter
46,290,Winter
47,320,Winter
48,320,Winter
49,340,Winter
