,θ,set
1,10,1
2,30,1
3,30,1
4,40,1
5,50,1
6,50,1
7,60,1
8,85,1
9,90,1
10,115,1
11,135,1
12,150,1
13,150,1
14,155,1
15,170,1
16,180,1
17,190,1
18,200,1
19,205,1
20,205,1
21,230,1
22,230,1
23,235,1
24,245,1
25,250,1
26,6,2
27,7,2
28,7,2
29,21,2
30,25,2
31,32,2
32,39,2
33,50,2
34,52,2
35,58,2
36,60,2
37,65,2
38,65,2
39,68,2
40,69,2
41,70,2
42,71,2
43,72,2
44,78,2
45,80,2
46,82,2
47,87,2
48,91,2
49,93,2
50,96,2
51,96,2
52,97,2
53,97,2
54,97,2
55,99,2
56,104,2
57,104,2
58,104,2
59,106,2
60,108,2
61,108,2
62,111,2
63,115,2
64,115,2
65,115,2
66,116,2
67,117,2
68,118,2
69,118,2
70,119,2
71,120,2
72,122,2
73,125,2
74,125,2
75,130,2
76,130,2
77,130,2
78,131,2
79,132,2
80,134,2
81,138,2
82,139,2
83,142,2
84,143,2
85,143,2
86,145,2
87,16,2
88,150,2
89,150,2
90,152,2
91,154,2
92,157,2
93,159,2
94,161,2
95,162,2
96,165,2
97,166,2
98,167,2
99,167,2
100,178,2
101,180,2
102,182,2
103,185,2
104,188,2
105,192,2
106,192,2
107,195,2
108,210,2
109,217,2
110,222,2
111,222,2
112,230,2
113,240,2
114,252,2
115,266,2
116,269,2
117,271,2
118,284,2
119,285,2
120,285,2
121,285,2
122,294,2
123,299,2
124,314,2
125,318,2
126,318,2
127,330,2
128,334,2
129,350,2
