,θ,φ
1,240,105
2,230,75
3,250,80
4,30,105
5,215,110
6,215,75
7,135,90
8,110,100
9,240,100
10,105,80
11,125,150
12,125,135
13,130,145
14,160,130
15,160,150
16,145,125
17,225,120
18,230,140
19,295,150
20,295,140
21,140,135
22,140,150
23,140,120
24,205,135
25,215,135
26,135,130
27,110,150
28,105,150
29,90,120
30,130,150
31,200,150
32,240,130
33,105,140
34,125,180
35,125,190
36,125,190
37,130,170
38,160,180
39,160,160
40,250,185
41,200,170
42,200,180
43,240,200
44,240,190
45,240,195
46,250,180
47,250,165
48,250,170
49,140,200
50,140,175
