,θ
1,330
2,290
3,60
4,200
5,200
6,180
7,280
8,220
9,190
10,180
11,180
12,160
13,280
14,180
15,170
16,190
17,180
18,140
19,150
20,150
21,160
22,200
23,190
24,250
25,180
26,30
27,200
28,180
29,200
30,350
31,200
32,180
33,120
34,200
35,210
36,130
37,30
38,210
39,200
40,230
41,180
42,160
43,210
44,190
45,180
46,230
47,50
48,150
49,210
50,180
51,190
52,210
53,220
54,200
55,60
56,260
57,110
58,180
59,220
60,170
61,10
62,220
63,180
64,210
65,170
66,90
67,160
68,180
69,170
70,200
71,160
72,180
73,120
74,150
75,300
76,190
77,220
78,160
79,70
80,190
81,110
82,270
83,180
84,200
85,180
86,140
87,360
88,150
89,160
90,170
91,140
92,40
93,300
94,80
95,210
96,200
97,170
98,200
99,210
100,190
